,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10386,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000,19451662,19451662,FALSE,,1,,,,2023-08-08T21:22:00.000Z,30176.79624,16619444314,23.421,0.75112867,3.479778,3.17973482,0.06188825,14.08645705,8.63721216,5.86989E+11,49.3154,6.33713E+11,,2023-08-08T21:22:00.000Z,,,,,,23:41.9
1,1027,Ethereum,ETH,ethereum,7223,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120159238.3,120159238.3,TRUE,,2,,,,2023-08-08T21:22:00.000Z,1873.847228,5565867181,-4.2029,0.67259724,2.69510707,1.26263466,0.32523505,2.04240298,1.16045296,2.2516E+11,18.9097,2.2516E+11,,2023-08-08T21:22:00.000Z,,,,,,23:41.9
2,825,Tether USDt,USDT,tether,59141,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83578639640,86684257831,TRUE,,3,,,,2023-08-08T21:22:00.000Z,0.999904173,24846931779,4.63,-0.00962229,0.08552056,0.04699911,-0.02685305,-0.00440449,-0.07824947,83570630581,7.0206,86675951172,,2023-08-08T21:22:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,23:41.9
3,1839,BNB,BNB,bnb,1559,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153853653.1,153853653.1,FALSE,,4,,,,2023-08-08T21:22:00.000Z,246.5741464,498010845.8,16.8525,-0.00966715,2.10902427,0.26514502,5.19856624,-5.72904471,-21.98446801,37936333188,3.186,37936333188,,2023-08-08T21:22:00.000Z,,,,,,23:41.9
4,52,XRP,XRP,xrp,1026,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",1E+11,52741286353,99988538151,FALSE,,5,,,,2023-08-08T21:22:00.000Z,0.644749376,1237443580,-12.6939,0.91862385,4.4451731,-7.91457024,37.34861517,19.70588556,49.2834712,34004911449,2.8559,64474937569,,2023-08-08T21:22:00.000Z,,,,,,23:41.9
5,3408,USD Coin,USDC,usd-coin,13550,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26246361689,26246361689,FALSE,,6,,,,2023-08-08T21:22:00.000Z,1.000076574,3230077502,8.7753,-0.02187651,-0.00942305,0.00167801,0.01745826,0.00368655,-0.00307539,26248371481,2.2052,26248371481,,2023-08-08T21:22:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,23:41.9
6,74,Dogecoin,DOGE,dogecoin,765,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,1.4051E+11,1.4051E+11,TRUE,,7,,,,2023-08-08T21:22:00.000Z,0.075118793,296244590.3,-15.7709,0.34418331,2.37557968,-2.81444257,14.70433931,9.22840478,1.88204963,10554956336,0.8864,10554956336,,2023-08-08T21:22:00.000Z,,,,,,23:41.9
7,2010,Cardano,ADA,cardano,889,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000,35027672949,36045784123,FALSE,,8,,,,2023-08-08T21:22:00.000Z,0.301209684,302292482.9,16.8515,0.31528453,4.15264119,-1.83827649,5.95375039,-0.04922886,-18.85853652,10550674299,0.8863,13554435779,,2023-08-08T21:22:00.000Z,,,,,,23:41.9
8,5426,Solana,SOL,solana,496,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,405746824.1,554400810,TRUE,,9,,,,2023-08-08T21:22:00.000Z,24.50309285,454872433.4,28.0089,-0.28378036,6.7306215,3.89147976,15.67081343,38.6809499,15.72613182,9942052107,0.8352,13584534525,,2023-08-08T21:22:00.000Z,,,,,,23:41.9
9,1958,TRON,TRX,tron,808,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89528742116,89528889601,TRUE,,10,71659659264,5511013830,,2023-08-08T21:22:00.000Z,0.076905387,171800625.1,-4.0772,0.11935823,0.29768283,-1.72786685,-1.21400431,7.35932673,10.60130877,6885242563,0.5782,6885253906,,2023-08-08T21:22:00.000Z,,,,,,23:41.9
